country,total_vaccinations,people_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,vaccine 1,vaccine 2,vaccine 3,population,gdp,land,cpi,lit_rate,political_stability
Romania,2799895,1887031,14.55,9.81,4.75,Oxford/AstraZeneca,Moderna,Pfizer/BioNTech,19317984,2.5E+11,230080,44,98.84449768,0.5255054
Russia,10600000,6300000,7.26,4.32,2.95,EpiVacCorona,Sputnik V,,146238185,1.7E+12,16376870,30,99.73005676,-0.542304
Rwanda,348926,348926,2.69,2.69,0,Oxford/AstraZeneca,Moderna,Pfizer/BioNTech,12955768,10354417725,24670,54,73.21559143,0.1156722
Saint Helena,3107,3107,51.18,51.18,0,Oxford/AstraZeneca,,,5633,,,,,
Saint Kitts and Nevis,7580,7580,14.25,14.25,0,Oxford/AstraZeneca,,,54000,1053244444,260,,,0.7282763
Saint Lucia,20247,20247,11.03,11.03,0,Oxford/AstraZeneca,,,178696,2122450630,610,56,,0.9261938
Saint Vincent and the Grenadines,9383,0,8.46,0,0,Oxford/AstraZeneca,,,110696,824718518.5,390,59,,0.959709
San Marino,10308,8633,30.37,25.44,4.94,Sputnik V,,,33600,1655300873,60,,99.91642761,0.8996959
Saudi Arabia,3995150,0,11.48,0,0,Oxford/AstraZeneca,Pfizer/BioNTech,,34218169,7.93E+11,2149690,53,95.32862854,-0.427996
Scotland,2653521,2358807,48.57,43.18,5.39,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,,,
Senegal,225309,225309,1.35,1.35,0,Sinopharm/Beijing,,,17223497,23578084052,192530,45,51.90042114,0.0573639
Serbia,2282876,1366442,33.55,20.08,13.47,Sinopharm/Beijing,Oxford/AstraZeneca,Pfizer/BioNTech,6926705,51475016532,87460,38,98.84150696,-0.0916651
Seychelles,96523,63132,98.15,64.2,33.95,Sinopharm/Beijing,Oxford/AstraZeneca,,98462,1703387387,460,66,95.8677063,0.689437
Sierra Leone,10673,10673,0.13,0.13,0,Oxford/AstraZeneca,,,8297882,4121733705,72180,33,43.20632935,-0.0981833
Singapore,1109000,799000,18.96,13.66,5.3,Moderna,Pfizer/BioNTech,,5685807,3.72E+11,709,85,97.34485626,1.531602
Slovakia,871081,615393,15.95,11.27,4.68,Pfizer/BioNTech,,,5459781,1.05E+11,48080,49,,0.7827882
